GPSXSelect GPSYSelect GPSZSelect
56.872 -23.726 -0.21721
56.975 -26.042 -0.23042
57.238 -26.055 -0.17423
57.346 -28.444 -0.19713
57.611 -30.8 -0.24846
57.805 -33.125 -0.26875
57.858 -33.127 -0.26875
57.982 -35.453 -0.28207
58.189 -35.465 -0.25603
57.963 -37.746 -0.22553
58.396 -37.771 -0.21591
58.471 -40.043 -0.24554
58.647 -40.053 -0.22866
58.923 -42.292 -0.27542
59.006 -44.535 -0.28716
59.25 -44.551 -0.29537
59.186 -46.777 -0.29865
59.302 -48.989 -0.29393
59.159 -51.212 -0.3533
59.427 -51.232 -0.33661
59.348 -53.406 -0.27648
59.215 -55.525 -0.27246
59.154 -55.52 -0.31059
59.074 -57.633 -0.3297
59.07 -57.632 -0.33721
58.941 -59.737 -0.37053
58.918 -59.735 -0.32611
58.798 -61.795 -0.30533
58.798 -61.795 -0.36551
58.683 -63.885 -0.32392
58.704 -63.886 -0.35266
58.586 -65.893 -0.3844
58.623 -65.896 -0.33397
58.539 -67.911 -0.33684
58.413 -69.885 -0.35339
58.471 -69.89 -0.38172
58.363 -71.917 -0.34255
58.363 -71.917 -0.35607
58.306 -73.868 -0.36613
58.357 -73.872 -0.30455
58.249 -75.849 -0.32767
58.129 -77.799 -0.38963
58.202 -77.805 -0.40978
58.001 -79.733 -0.39257
57.964 -79.731 -0.22674
57.855 -81.636 -0.094052
57.817 -81.633 -0.3689
57.65 -83.564 -0.37146
57.593 -83.559 -0.37069
57.403 -85.455 -0.41099
57.373 -85.453 -0.38681
57.174 -87.343 -0.3579
57.063 -87.334 -0.41288
56.812 -89.251 -0.4148
56.599 -91.151 -0.45832
56.328 -93.023 -0.42422
56.531 -93.039 -0.035701
55.997 -94.868 -0.40312
55.731 -96.718 -0.44475
55.449 -98.541 -0.40741
55.362 -98.536 -0.42947
55.062 -100.35 -0.42069
54.772 -102.15 -0.45932
54.584 -102.14 -0.40649
54.436 -103.95 -0.40363
54.039 -105.69 -0.44124
53.77 -107.44 -0.45255
53.74 -107.44 -0.032904
53.334 -109.15 -0.44913
53.035 -110.86 -0.48399
52.8 -112.56 -0.42843
52.754 -112.56 -0.2456
52.591 -114.25 -0.43031
52.342 -115.96 -0.49077
52.404 -115.96 -0.093013
52.247 -117.63 -0.19638
52.264 -117.63 -0.21371
52.16 -119.29 -0.23753
52.141 -119.29 -0.21101
52.074 -120.95 -0.23411
52.019 -122.57 -0.2864
52.028 -124.11 -0.24678
52.032 -124.11 -0.24279
52.16 -125.71 -0.23706
52.199 -125.72 -0.26
52.163 -127.27 -0.19773
52.285 -128.83 -0.3132
52.398 -128.83 -0.25616
52.397 -130.35 -0.21342
52.373 -131.85 -0.27877
52.298 -131.84 -0.30026
52.226 -133.33 -0.3017
52.191 -133.33 -0.29732
52.083 -134.78 -0.3447
52.062 -134.78 -0.33443
51.924 -136.24 -0.33204
51.777 -136.24 -0.35172
51.719 -137.63 -0.33997
51.527 -139.04 -0.33021
51.375 -140.4 -0.34477
51.353 -140.4 -0.3217
51.247 -141.77 -0.34207
51.186 -143.14 -0.35871
51.225 -143.15 -0.34902
51.207 -144.47 -0.33566
51.259 -144.47 -0.31418
51.324 -145.77 -0.38668
51.395 -145.77 -0.3753
51.375 -147.02 -0.37877
51.653 -147.04 -0.42531
51.719 -148.3 -0.37818
51.994 -149.51 -0.53061
52.149 -150.62 -0.47705
52.528 -150.65 -0.47737
52.792 -151.79 -0.55632
52.993 -152.83 -0.51352
53.218 -153.88 -0.51892
53.47 -154.88 -0.514
53.811 -154.91 -0.53417
54.039 -155.92 -0.5241
54.274 -156.91 -0.52895
54.493 -157.89 -0.5147
54.843 -157.94 -0.5383
55.19 -159.87 -0.54223
55.479 -159.92 -0.5332
55.607 -160.89 -0.46272
55.64 -161.83 -0.4809
55.821 -161.87 -0.46444
55.878 -162.81 -0.5084
55.881 -163.77 -0.48544
55.886 -164.66 -0.4918
56.04 -164.69 -0.4838
56.04 -165.6 -0.50019
55.959 -166.5 -0.49837
56.105 -167.35 -0.50838
56.328 -167.4 -0.47281
56.358 -168.24 -0.56263
55.979 -168.98 -0.44837
56.303 -169.83 -0.43644
56.411 -170.6 -0.43849
56.53 -171.33 -0.44372
56.663 -172.05 -0.44555
57.121 -172.87 -0.44423
