GPSXSelect GPSYSelect GPSZSelect
-343.24 65.645 63.446
-343.13 69.118 63.438
-343.02 72.591 63.431
-343.02 72.591 63.431
-343.02 72.591 63.431
-342.8 79.534 63.441
-342.8 79.534 63.441
-344.15 85.541 63.456
-342.55 86.474 63.456
-342.41 89.944 63.47
-342.27 93.416 63.487
-342.27 93.416 63.487
-342.14 96.883 63.498
-342.14 96.883 63.498
-341.99 100.35 63.519
-341.85 103.82 63.537
-341.7 107.29 63.561
-341.7 107.29 63.561
-341.56 110.76 63.558
-341.41 114.22 63.562
-341.41 114.22 63.562
-341.25 117.69 63.568
-341.1 121.16 63.567
-340.95 124.63 63.569
-340.8 128.09 63.555
-340.8 128.09 63.555
-340.65 131.56 63.549
-340.5 135.04 63.536
-340.35 138.51 63.505
-340.21 141.97 63.474
-340.21 141.97 63.474
-340.06 145.44 63.455
-339.92 148.92 63.425
-339.92 148.92 63.425
-339.79 152.38 63.39
-339.65 155.86 63.363
-339.53 159.33 63.345
-339.53 159.33 63.345
-339.4 162.8 63.338
-339.29 166.27 63.339
-339.17 169.74 63.344
-339.06 173.21 63.347
-339.06 173.21 63.347
-338.97 176.68 63.381
-338.87 180.15 63.418
-338.87 180.15 63.418
-338.77 183.61 63.462
-338.68 187.08 63.51
-338.6 190.55 63.544
-338.6 190.55 63.544
-338.52 194.01 63.582
-338.45 197.47 63.652
-338.45 197.47 63.652
-338.38 200.93 63.721
-338.32 204.38 63.78
-338.26 207.84 63.87
-338.26 207.84 63.87
-338.2 211.29 63.94
-338.16 214.75 64.003
-338.16 214.75 64.003
-338.11 218.19 64.061
-338.06 221.64 64.134
-338.06 221.64 64.134
-338.03 225.09 64.188
-338 228.54 64.249
-337.97 231.98 64.312
-337.97 231.98 64.312
-337.94 235.43 64.368
-337.92 238.87 64.428
-337.92 238.87 64.428
-337.89 242.31 64.501
-337.87 245.75 64.575
-337.87 245.75 64.575
-337.86 249.19 64.637
-337.86 252.63 64.721
-337.86 252.63 64.721
-337.85 256.08 64.77
-337.85 259.52 64.817
-337.85 262.95 64.858
-337.86 266.39 64.912
-337.86 266.39 64.912
-337.86 269.83 64.964
-337.87 273.26 65.001
-337.87 273.26 65.001
-337.88 276.7 65.045
-337.89 280.13 65.093
-337.91 283.56 65.139
-337.91 283.56 65.139
-337.94 287 65.195
-337.97 290.43 65.244
-337.97 290.43 65.244
-338 293.86 65.297
-338.03 297.28 65.342
-338.03 297.28 65.342
-338.07 300.71 65.396
-338.12 304.14 65.449
-338.12 304.14 65.449
-338.17 307.57 65.516
-338.22 310.99 65.589
-338.28 314.42 65.656
-338.28 314.42 65.656
-338.34 317.85 65.737
-338.41 321.27 65.799
-338.49 324.7 65.857
-338.49 324.7 65.857
-338.57 328.12 65.918
-338.65 331.55 65.985
-338.73 334.97 66.055
-338.73 334.97 66.055
-338.82 338.39 66.118
-338.82 338.39 66.118
-338.91 341.81 66.187
-339 345.23 66.25
-339.1 348.65 66.307
-339.1 348.65 66.307
-339.19 352.07 66.375
-339.3 355.49 66.432
-339.3 355.49 66.432
-339.4 358.91 66.484
-339.5 362.32 66.532
-339.61 365.74 66.575
-339.61 365.74 66.575
-339.72 369.16 66.609
-339.84 372.57 66.658
-339.84 372.57 66.658
-339.96 375.99 66.685
-340.08 379.4 66.718
-340.08 379.4 66.718
-340.2 382.82 66.761
-340.33 386.23 66.793
-340.46 389.64 66.832
-340.59 393.06 66.886
-340.59 393.06 66.886
-340.72 396.47 66.947
